dataset_id,task_group,task_type,metric_name,metric_direction,model_family,model_name,value,sample_count,fold_count,protocol,evidence_role,source_path
uab_workload_dataset,n_back,regression,mae,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_current,5.4084016752293715,3764.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,rmse,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_current,2.1027110772908917,638.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,mae,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_current,1.7990387935997176,638.0,2.0,two_fold_confirm_current,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-05-06_public-fusion-uab-confirm/deep_baseline_summary.json
nasa_csm,benchmark_only,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.6558222022372738,1451.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
nasa_csm,benchmark_only,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.6767944028763925,1451.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
nasa_csm,loft_only,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.6480860136797442,1359.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
nasa_csm,loft_only,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.6417003395561123,1359.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
nasa_csm,combined,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.5657317313970226,2810.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
nasa_csm,combined,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.56349066834828,2810.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/nasa_csm/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,rmse,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,5.163878884109296,28052.0,16.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,n_back,regression,mae,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,4.073223467107236,28052.0,16.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.32022952206199085,28052.0,16.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,n_back,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.34282534476789955,28052.0,16.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,rmse,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,1.4557918272975465,5440.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,regression,mae,lower_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,1.1512073343729272,5440.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,macro_f1,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.504835572580152,5440.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
uab_workload_dataset,heat_the_chair,classification,balanced_accuracy,higher_is_better,chronaris_public_fusion,chronaris_public_fusion_refresh,0.5334708860334147,5440.0,17.0,p28_refresh_full_loso_confirm,public_adapter_context_proxy_evidence,/home/wangminan/projects/chronaris/docs/artifacts/runs/2026-07-01_public-fusion-calibration/confirm/uab_workload_dataset/fusion_h64_l2_hd4_do0p1_bias0p25_lag16_lr0p001_bs128_smooth_l1_td1_zscore_train_wd1em05__seed42/deep_baseline_summary.json
