split_id,split_kind,field_name,selected_field_count,mean_jaccard_to_main_splits,train_iqr,validation_iqr,validation_to_train_iqr_ratio,train_mean,validation_mean,validation_to_train_mean_ratio,fit_role,outer_test_opened
leave_one_view_out__fold02__candidate_328,main_selection,eeg.fz,12,1.0,80.0830078125,492.212890625,6.1462837631851714,78.98995535714286,290.5221354166667,3.67796302837631,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,spo2.toi1,12,1.0,0.4851722717285156,0.6533403396606445,1.3466151668828872,0.5533779689243862,0.9226338068644205,1.6672760006289473,inner_train,False
leave_one_view_out__fold02__candidate_328,main_selection,spo2.toi2,12,1.0,0.7076339721679688,0.4702110290527344,0.664483401796207,0.5815685817173549,0.5747356414794922,0.9882508435760314,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.af3,12,1.0,47.494672775268555,68.70923614501953,1.4466724819882921,84.40296999613444,83.76687431335449,0.9924635864969078,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.af4,12,1.0,66.07176208496094,73.12651824951172,1.1067741489243037,71.00404357910156,112.9321772257487,1.5905034633687782,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.f3,12,1.0,63.0882568359375,105.9755859375,1.6797989238011761,73.51021321614583,88.22037760416667,1.2001104845767185,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.f4,12,1.0,41.146881103515625,60.615020751953125,1.473137674747701,60.891693115234375,60.048909505208336,0.9861593007697927,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.f7,12,1.0,55.178070068359375,68.45779037475586,1.2406702570413284,75.40546162923177,76.28463236490886,1.0116592447905162,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.f8,12,1.0,51.16015625,63.6966552734375,1.2450441895090478,74.88950602213542,72.29679361979167,0.9653794965401773,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.fp1,12,1.0,45.835045337677,71.34953498840332,1.5566589814137934,74.44061374664307,80.54170529047649,1.0819591784210478,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.fp2,12,1.0,88.54916381835938,96.97018432617188,1.0950999438581546,89.0381368001302,115.1384785970052,1.2931366573344203,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.fpz,12,1.0,66.7030029296875,78.8828125,1.182597619827572,79.6905517578125,88.530517578125,1.1109286562248688,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,eeg.fz,12,1.0,117.068359375,413.0390625,3.5281869901066085,88.8173828125,213.22135416666666,2.4006714385718,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,spo2.toi1,12,1.0,0.49494075775146484,0.8782052993774414,1.774364478219903,0.5596421559651693,0.8677686055501302,1.5505776259001796,inner_train,False
leave_one_view_out__fold02__candidate_329,main_selection,spo2.toi2,12,1.0,0.6655349731445312,0.5174369812011719,0.777475267387342,0.5397141774495443,0.5962333679199219,1.1047205962560829,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.af3,12,1.0,65.42635536193848,106.07850646972656,1.6213421316669783,75.85684076944987,93.45449574788411,1.2319850760977302,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.af4,12,1.0,68.03312683105469,101.85129165649414,1.4970837943318323,65.74082777235243,93.7879015604655,1.4266309801457715,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.f3,12,1.0,78.860107421875,103.2203369140625,1.3089043407190468,68.41059027777777,80.79402669270833,1.1810163655166288,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.f4,12,1.0,47.019744873046875,70.50558471679688,1.499488882961013,60.20811631944444,69.010986328125,1.1462073645017463,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.f7,12,1.0,70.29622745513916,86.88680648803711,1.2360095218976799,70.87302547030978,84.17945543924968,1.1877502742494639,inner_train,False
leave_one_view_out__fold01__candidate_340,main_selection,eeg.f8,12,1.0,64.026611328125,52.7611083984375,0.824049677220089,70.36886935763889,70.33353678385417,0.9994978948204334,inner_train,False
