dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,macro_auprc,0.3856684053895385,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,brier_score,0.6576712209039569,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,ece_10_bins,0.1209920332767069,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,mae,0.23140176959956685,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,rmse,0.2621271831092081,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,spearman,0.19921915234245494,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,frame_macro_f1,0.23654287500523735,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.10,0.315954458813451,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.25,0.19888781974605899,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.50,0.11983379161687985,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_1s,0.23142128862836986,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_2s,0.31385531546576945,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,edit_score,0.3551278745853533,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_detection_delay_s,2.992343304843305,lower,available,,False,end_to_end_finetuned_v1
