candidate_id,direction,evaluation_role,fit_role,fold_id,head_variant,metric,outer_test_accessed,status,task,value
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.7007150576116092
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.7229485601726404
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,1.0
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,1.0
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,1.0
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.611111111111111
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.0079557819237621
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,1.2505717257851832
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,0.9865051506143553
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,1.2156081935061074
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,0.9893651907494734
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,1.0872369500067547
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,0.8889867923455179
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.9016935319777903
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,0.9908925349917351
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,1.1004565794988708
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,1.2276649272156341
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.1939456995810196
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.6597553031763557
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.6464876884381527
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.6853280190285715
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.7205866597170945
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_logistic,macro_f1,False,completed,maneuver,1.0
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,linear_svm,macro_f1,False,completed,maneuver,1.0
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,ordinal_cumulative,macro_f1,False,completed,maneuver,1.0
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.557142857142857
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=raw,rmse,False,completed,response,1.2551137819499123
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,1.2582675555655654
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=raw,rmse,False,completed,response,0.9989255259536546
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=1;target=log1p,rmse,False,completed,response,1.1654388972094276
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=raw,rmse,False,completed,response,0.9012776156018133
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=10;target=log1p,rmse,False,completed,response,0.9998263790820386
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=raw,rmse,False,completed,response,0.8961494806459851
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.8982572763012345
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=2,rmse,False,completed,response,0.9752274871628046
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,pls_components=4,rmse,False,completed,response,0.9813343549578339
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,huber,rmse,False,completed,response,1.1592738037442583
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold01,kernel_ridge_rbf,rmse,False,completed,response,1.2345038494209049
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,bce,auprc,False,completed,high_response,0.5192137101427875
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,balanced_bce,auprc,False,completed,high_response,0.533224504253916
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,continuous_regression_threshold,auprc,False,completed,high_response,0.5652528578335858
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold01,joint_regression_risk,auprc,False,completed,high_response,0.5106647911762635
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold01,fieldwise_ridge_alpha=0.1,rmse,False,completed,response,0.8571517534595594
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold01,fieldwise_ridge_alpha=1,rmse,False,completed,response,0.8572574750413954
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold01,fieldwise_ridge_alpha=10,rmse,False,completed,response,1.1306961926885017
fieldwise_physiology_30s,lower,inner_validation,inner_train,leave_one_view_out__fold01,fieldwise_ridge_alpha=100,rmse,False,completed,response,1.2054336956080702
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,balanced_logistic,macro_f1,False,completed,maneuver,1.0
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,linear_svm,macro_f1,False,completed,maneuver,1.0
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,ordinal_cumulative,macro_f1,False,completed,maneuver,0.9682539682539683
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,continuous_score_then_bucket,macro_f1,False,completed,maneuver,0.48116710875331564
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=0.1;target=raw,rmse,False,completed,response,0.8908239712946371
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=0.1;target=log1p,rmse,False,completed,response,0.9143744445745805
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=1;target=raw,rmse,False,completed,response,0.8911307576275883
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=1;target=log1p,rmse,False,completed,response,0.9090818540263663
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=10;target=raw,rmse,False,completed,response,0.865962135823052
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=10;target=log1p,rmse,False,completed,response,0.8764632965295881
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=100;target=raw,rmse,False,completed,response,0.8200899817772292
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,ridge_alpha=100;target=log1p,rmse,False,completed,response,0.8246769483175534
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,pls_components=2,rmse,False,completed,response,0.8594745573209466
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,pls_components=4,rmse,False,completed,response,0.8993376414498945
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,huber,rmse,False,completed,response,0.9210807513298385
summary_vehicle_5s_linear,lower,inner_validation,inner_train,leave_one_view_out__fold02,kernel_ridge_rbf,rmse,False,completed,response,0.852097701721196
summary_vehicle_5s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,bce,auprc,False,completed,high_response,0.6244871227843364
