seed,method,task,consumer,metric,direction,fold_count,available_fold_count,mean,std,minimum,maximum,worst_fold_value,statistical_unit,window_level_p_value_reported,representation_family
17,mult,high_physiology_response_classification,minirocket,ece_10_bins,lower,3,3,0.17090793308225596,0.23657403293628315,0.0007962325543429127,0.5054581051197402,0.5054581051197402,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,minirocket,high_response_recall,higher,3,3,0.75,0.3535533905932738,0.25,1.0,0.25,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,minirocket,macro_auprc,higher,3,3,0.8656092695233428,0.19005719369731564,0.5968278085700287,0.9999999999999999,0.5968278085700287,view_fold,False,frozen_task_agnostic_v2
17,mult,high_physiology_response_classification,minirocket,macro_f1,higher,3,3,0.8285714285714286,0.24243661069253059,0.4857142857142857,1.0,0.4857142857142857,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,linear,balanced_accuracy,higher,3,3,0.5181818181818182,0.1332644450139153,0.3333333333333333,0.6424242424242425,0.3333333333333333,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,linear,brier_score,lower,3,3,0.6926343466996804,0.3767643747287369,0.41301614829543254,1.225237715765783,1.225237715765783,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,linear,ece_10_bins,lower,3,3,0.3029761165591513,0.22625526353505412,0.07839446196604428,0.6126484949975022,0.6126484949975022,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,linear,macro_auprc,higher,3,3,0.6874113807735456,0.1411160612758004,0.48796366062368474,0.7931410147586618,0.48796366062368474,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,linear,macro_f1,higher,3,3,0.4551508212440229,0.19165887386228933,0.18604651162790697,0.6177536231884058,0.18604651162790697,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,minirocket,balanced_accuracy,higher,3,3,0.9166666666666666,0.11785113019775792,0.75,1.0,0.75,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,minirocket,brier_score,lower,3,3,0.15436525503018386,0.2180861119078915,1.3585321724196186e-07,0.4627855403399749,0.4627855403399749,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,minirocket,ece_10_bins,lower,3,3,0.05835365278981818,0.07319060534546817,0.00026582249810946923,0.16159089678170388,0.16159089678170388,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,minirocket,macro_auprc,higher,3,3,0.9478139027924951,0.0738022864381741,0.8434417083774853,1.0,0.8434417083774853,view_fold,False,frozen_task_agnostic_v2
17,mult,maneuver_intensity_classification,minirocket,macro_f1,higher,3,3,0.9034201665780612,0.13658451027704008,0.7102604997341838,1.0,0.7102604997341838,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,linear,mae,lower,3,3,0.4951766532247248,0.1499820849104033,0.380557491869015,0.7070461723688345,0.7070461723688345,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,linear,rmse,lower,3,3,0.6941649915255356,0.14934711405865142,0.5840742696227873,0.9053092487884166,0.9053092487884166,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,linear,spearman,higher,3,3,0.3523173896922506,0.17423671416391182,0.10923248053392658,0.5087875417130144,0.10923248053392658,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,minirocket,mae,lower,3,3,0.2217114560551411,0.2996688841609498,0.009056399640107885,0.6455063533531555,0.6455063533531555,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,minirocket,rmse,lower,3,3,0.3107298980101013,0.4206192211301099,0.012385426798634224,0.9055743518988607,0.9055743518988607,view_fold,False,frozen_task_agnostic_v2
17,mult,physiology_response_regression,minirocket,spearman,higher,3,3,0.7972562106043751,0.2860937781352468,0.39265850945494996,0.9995550611790878,0.39265850945494996,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,balanced_accuracy,higher,3,3,0.787878787878788,0.2035610430688546,0.5,0.9318181818181819,0.5,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,brier_score,lower,3,3,0.33062398648501795,0.23761805673719974,0.16260264723377418,0.6666666649875054,0.6666666649875054,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,ece_10_bins,lower,3,3,0.22020399256795398,0.07999452276151929,0.16363932306550208,0.3333333315728578,0.3333333315728578,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,high_response_recall,higher,3,3,1.0,0.0,1.0,1.0,1.0,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,macro_auprc,higher,3,3,0.8625503185736735,0.19438320361697195,0.587650955721021,0.9999999999999999,0.587650955721021,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,linear,macro_f1,higher,3,3,0.7229781771501925,0.22838005923817115,0.4,0.8844672657252888,0.4,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,minirocket,balanced_accuracy,higher,3,3,0.875,0.1767766952966369,0.625,1.0,0.625,view_fold,False,frozen_task_agnostic_v2
